n,theta,avg_wall_ms_per_step
1024,0.25,1.07342
4096,0.25,1.5626
16384,0.25,4.49851
65536,0.25,32.2591
262144,0.25,173.731 (8192 queue)
524288,0.25,356.424 (8192 queue)

1024,0.5,1.08185
4096,0.5,1.47515
16384,0.5,3.5636
65536,0.5,11.8469
262144,0.5,37.9628
524288,0.5,76.328
1048576,0.5,150.809
2097152,0.5,290.439

1024,0.75,1.07315
4096,0.75,1.36616
16384,0.75,2.20812
65536,0.75,3.9511
262144,0.75,16.4173
524288,0.75,30.1361
1048576,0.75,63.995
2097152,0.75,120.435

1048576,0.8,46.8827 (8 L_max, 8192 queue)

1048576,0.9,40.382 (8 L_max, 8192 queue)

1048576,0.9,47.8827
2097152,0.9,90.9261
